genres,mean,count
07-Feb-1997,2.7857142857142856,350
01-Jan-1969,3.7809798270893373,347
22-May-1996,3.313953488372093,344
25-Apr-1997,2.908011869436202,337
01-Jan-1973,3.9136904761904763,336
04-Jul-1997,3.6467065868263475,334
01-Aug-1997,2.90990990990991,333
16-Aug-1996,3.096096096096096,333
01-Jan-1950,3.7710843373493974,332
18-Apr-1997,2.9053627760252367,317
12-Jul-1996,3.016025641025641,312
01-Jan-1964,3.762376237623762,303
02-Aug-1996,3.4224422442244222,303
08-Nov-1996,3.6578073089700998,301
23-Aug-1996,2.651006711409396,298
01-Jan-1983,3.688135593220339,295
12-Apr-1996,3.1258503401360542,294
29-Jan-1996,3.7781569965870307,293
01-Jan-1952,4.034246575342466,292
01-Jan-1965,3.5945017182130585,291
27-Jun-1997,3.615916955017301,289
04-Apr-1997,3.8612099644128115,281
31-May-1996,3.01423487544484,281
20-Jun-1997,3.1035714285714286,280
10-Jan-1997,3.1464285714285714,280
26-Mar-1997,3.077205882352941,272
13-Sep-1996,3.294776119402985,268
14-Aug-1995,4.385767790262173,267
01-Jan-1942,4.398467432950191,261
07-Mar-1997,2.953846153846154,260
19-Apr-1996,3.0952380952380953,252
20-Sep-1996,3.5657370517928286,251
01-Mar-1996,2.904382470119522,251
25-Oct-1996,3.096,250
06-Dec-1996,3.2208835341365463,249
23-May-1997,2.9714285714285715,245
29-Jun-1996,3.557377049180328,244
02-May-1997,3.2016460905349793,243
27-Dec-1996,3.5082644628099175,242
21-Feb-1997,3.3775933609958506,241
24-Jan-1997,3.9414225941422596,239
09-May-1997,3.3248945147679323,237
28-Jun-1996,2.725321888412017,233
13-Jul-1996,3.685344827586207,232
19-Sep-1997,3.3043478260869565,230
27-Nov-1996,3.2043478260869565,230
01-Jan-1944,3.9347826086956523,230
01-Jan-1955,3.8289473684210527,228
11-Apr-1997,3.290748898678414,227
01-Jan-1937,3.7455357142857144,224
01-Jan-1976,3.4027777777777777,216
14-Jun-1996,2.861111111111111,216
05-Apr-1996,3.813953488372093,215
28-Feb-1997,3.442857142857143,210
01-Jan-1938,3.8970588235294117,204
18-Dec-1997,3.7567567567567566,185
05-Oct-1996,3.4702702702702704,185
30-Oct-1995,3.4184782608695654,184
27-Sep-1996,3.201117318435754,179
30-Mar-1996,3.601123595505618,178
09-Jan-1998,3.398876404494382,178
01-Jan-1956,3.735955056179775,178
28-Sep-1996,3.465909090909091,176
26-Jul-1996,3.0628571428571427,175
06-Sep-1996,3.425287356321839,174
01-Jan-1961,3.4709302325581395,172
01-Jan-1934,4.024844720496894,161
23-Oct-1998,4.1,160
14-Sep-1996,3.01875,160
09-Mar-1996,3.356687898089172,157
06-Jun-1997,3.367741935483871,155
24-May-1996,3.3870967741935485,155
01-Jan-1966,3.858156028368794,141
02-Feb-1996,2.8633093525179856,139
30-Aug-1996,2.5925925925925926,135
16-Jan-1998,2.9302325581395348,129
29-Mar-1996,2.5703125,128
01-Jan-1935,3.874015748031496,127
23-Apr-1996,3.824,125
13-Feb-1998,3.275,120
17-Jan-1997,2.634782608695652,115
26-Sep-1997,3.5398230088495577,113
28-Apr-1996,4.491071428571429,112
30-Nov-1996,3.232142857142857,112
23-Dec-1997,4.196428571428571,112
22-Mar-1996,3.2990654205607477,107
13-Jun-1997,3.0377358490566038,106
31-Jan-1997,3.3980582524271843,103
17-Oct-1997,3.06,100
01-Jan-1949,4.114583333333333,96
09-Aug-1996,2.4479166666666665,96
30-Jan-1998,3.168421052631579,95
01-Jan-1933,3.9680851063829787,94
05-Feb-1996,3.119565217391304,92
03-May-1996,2.49438202247191,89
22-Jan-1996,3.831460674157303,89
01-Jan-1948,4.073170731707317,82
26-Dec-1997,3.575,80
06-Feb-1998,3.075,80
31-Jul-1996,2.7,80
16-May-1997,3.2948717948717947,78
01-Nov-1996,2.858974358974359,78
18-Dec-1996,3.58974358974359,78
01-Jan-1953,4.0519480519480515,77
01-Jan-1998,2.8026315789473686,76
01-Jan-1945,3.6,75
07-Aug-1996,3.1733333333333333,75
08-Mar-1981,3.26027397260274,73
18-Dec-1995,3.611111111111111,72
29-Aug-1997,2.63768115942029,69
25-Dec-1997,3.2295081967213113,61
15-Mar-1996,3.892857142857143,56
01-Jan-1947,3.5892857142857144,56
01-Jan-1922,3.5555555555555554,54
30-May-1997,2.2941176470588234,51
23-Mar-1996,3.5555555555555554,45
21-Feb-1996,3.4545454545454546,44
01-Jan-1931,4.0,44
25-Sep-1995,4.045454545454546,44
19-Oct-1996,3.2439024390243905,41
01-Jan-1936,3.769230769230769,39
16-Oct-1996,3.3157894736842106,38
01-May-1996,3.3783783783783785,37
09-Oct-1996,3.9655172413793105,29
27-Mar-1998,3.259259259259259,27
20-Dec-1971,3.8461538461538463,26
23-Jan-1998,3.76,25
28-Mar-1997,2.625,24
01-Jan-1943,3.75,24
03-Apr-1996,2.8181818181818183,22
29-Mar-1988,2.772727272727273,22
31-Dec-1997,3.1904761904761907,21
25-Sep-1996,3.4210526315789473,19
29-Jan-1997,3.210526315789474,19
20-Mar-1998,3.6842105263157894,19
15-Aug-1997,2.1578947368421053,19
13-Nov-1996,3.1578947368421053,19
01-Jan-1930,3.7777777777777777,18
20-Feb-1998,3.0588235294117645,17
15-Jan-1996,2.5,16
15-Dec-1996,2.875,16
14-Mar-1998,2.8,15
10-Mar-1998,3.0714285714285716,14
30-Oct-1996,2.9285714285714284,14
17-May-1975,3.230769230769231,13
21-Aug-1996,2.6923076923076925,13
17-Mar-1998,3.4166666666666665,12
01-Jan-1932,3.8333333333333335,12
17-Jul-1996,1.8,10
08-Mar-1976,2.0,9
Unknown,3.4444444444444446,9
04-Sep-1996,1.75,8
03-Apr-1998,3.0,8
28-Jun-1960,3.142857142857143,7
21-Jan-1998,3.1666666666666665,6
01-May-1997,3.2,5
05-Jun-1996,2.4,5
05-Mar-1997,2.2,5
01-Sep-1997,3.4,5
01-Feb-1998,4.0,4
16-Sep-1994,2.3333333333333335,3
22-Apr-1997,3.0,3
14-May-1997,2.0,3
09-Oct-1998,1.0,3
01-Jan-1926,3.0,2
06-Mar-1998,3.5,2
16-Sep-1996,3.0,2
24-Sep-1996,1.0,2
02-Apr-1996,5.0,1
11-Feb-1998,4.0,1
18-Sep-1996,3.0,1
17-May-1996,1.0,1
22-Jul-1996,5.0,1
26-Apr-1986,3.0,1
26-Oct-1996,1.0,1
28-Feb-1996,3.0,1
30-Apr-1997,2.0,1
4-Feb-1971,1.0,1
